,group_id,task_id,master_solution,common_Errors
0,cb71040b5bd1341a34afc24961536ebd,Sugar Cones,"{'master0': 'cone', 'master1': 'cone'}","{'deleted_shapes': {'cone': 25.0}, 'moved_shapes': {'cone': 37.5}, 'rotated_shapes': {'cone': 25.0}}"
1,cb71040b5bd1341a34afc24961536ebd,45-Degree Rotations,"{'master0': 'ramp', 'master1': 'ramp', 'master2': 'ramp', 'master3': 'ramp', 'master4': 'sphere'}","{'rotated_shapes': {'ramp': 50.0}, 'moved_shapes': {'ramp': 50.0}}"
2,cb71040b5bd1341a34afc24961536ebd,Pyramids are Strange,"{'master0': 'pyramid', 'master1': 'pyramid', 'master2': 'pyramid', 'master3': 'pyramid'}","{'moved_shapes': {'pyramid': 24.32}, 'rotated_shapes': {'pyramid': 59.46}}"
3,cb71040b5bd1341a34afc24961536ebd,Object Limits,{'master0': 'cube'},"{'scaled_shapes': {'cube': 54.84}, 'moved_shapes': {'cube': 22.58}}"
4,cb71040b5bd1341a34afc24961536ebd,Stranger Shapes,"{'master0': 'pyramid', 'master1': 'pyramid'}","{'moved_shapes': {'pyramid': 42.42}, 'rotated_shapes': {'pyramid': 33.33}, 'scaled_shapes': {'pyramid': 18.18}}"
5,cb71040b5bd1341a34afc24961536ebd,Tall and Small,"{'master0': 'cube', 'master1': 'sphere'}","{'moved_shapes': {'sphere': 37.5, 'cube': 28.12}, 'scaled_shapes': {'cube': 15.62}}"
6,cb71040b5bd1341a34afc24961536ebd,Square Cross-Sections,"{'master0': 'ramp', 'master1': 'cylinder', 'master2': 'pyramid'}",{}
7,cb71040b5bd1341a34afc24961536ebd,Pi Henge,"{'master0': 'cube', 'master1': 'cube', 'master2': 'cube', 'master3': 'cube', 'master4': 'cube'}",{}
8,cb71040b5bd1341a34afc24961536ebd,Boxes Obscure Spheres,"{'master0': 'sphere', 'master1': 'cylinder', 'master2': 'cylinder', 'master3': 'cube'}",{}
9,cb71040b5bd1341a34afc24961536ebd,Ramp Up and Can It,"{'master0': 'cylinder', 'master1': 'ramp'}","{'moved_shapes': {'cylinder': 66.67, 'ramp': 33.33}}"
10,cb71040b5bd1341a34afc24961536ebd,Angled Silhouette,"{'master0': 'cube', 'master1': 'cube', 'master2': 'pyramid', 'master3': 'pyramid'}","{'created_shapes': {'pyramid': 33.33}, 'deleted_shapes': {'cone': 33.33}, 'rotated_shapes': {'pyramid': 33.33}}"
11,cb71040b5bd1341a34afc24961536ebd,More Than Meets Your Eye,"{'master0': 'cube', 'master1': 'cube', 'master2': 'cube', 'master3': 'cube', 'master4': 'cube', 'master5': 'cube', 'master6': 'cube', 'master7': 'cube', 'master8': 'cube', 'master9': 'cube', 'master10': 'ramp', 'master11': 'ramp'}",{}
12,cb71040b5bd1341a34afc24961536ebd,Not Bird,"{'master0': 'sphere', 'master1': 'cylinder', 'master2': 'pyramid'}",{'moved_shapes': {'cylinder': 22.22}}
13,c6262795f034865c9e9203305638ee79,45-Degree Rotations,"{'master0': 'ramp', 'master1': 'ramp', 'master2': 'ramp', 'master3': 'ramp', 'master4': 'sphere'}","{'created_shapes': {'sphere': 33.33}, 'deleted_shapes': {'sphere': 33.33}, 'rotated_shapes': {'ramp': 33.33}}"
