group,user,task_id,level_puzzle,started,create_shape,submitted,completed
cb71040b5bd1341a34afc24961536ebd,098f6bcd4621d373cade4e832627b4f6,Sandbox,SAND,1,0,0,0
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Sugar Cones,Advanced Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bear Market,Advanced Puzzles,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Object Limits,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Tetromino,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Angled Silhouette,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Stranger Shapes,Advanced Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Tall and Small,Advanced Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,56ccce25ead834182d605eff319bfa2c,Ramp Up and Can It,Advanced Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,2. Separated Boxes,Basic Puzzles,1,1,1,1
