user,group,task_id,started,create_shape,submitted,completed
00f86c5fc28e8d326cdae17ea97c7387,e6af7d42084352a39449e6d0a09b18cd,28,28,27,26,16
0157bc278747755031338f18c5ba4233,4fe25833f555e9903d2bb6bbeec3fbfb,8,8,8,8,7
031395e5e53450933d46c8646ae4ee27,e6af7d42084352a39449e6d0a09b18cd,7,7,7,6,5
049217092f0cf180df6272f85c8144b1,e6af7d42084352a39449e6d0a09b18cd,30,30,28,27,24
04efb31113020a35abc57f18b7c92b34,e6af7d42084352a39449e6d0a09b18cd,28,28,28,28,27
0760db831ec82e0c4b3349f6045d9669,4fe25833f555e9903d2bb6bbeec3fbfb,4,4,4,4,4
098f6bcd4621d373cade4e832627b4f6,c6262795f034865c9e9203305638ee79,1,1,0,0,0
098f6bcd4621d373cade4e832627b4f6,e21640b4aea9349ad77d86d6017cb061,12,12,10,10,8
09c0fd63d10090d7503972218cf4bfc3,e6af7d42084352a39449e6d0a09b18cd,29,29,28,26,22
0a7a979cbaa702f693c222990a433ba2,8cbfa61cb2b025b16b04a8e470422960,30,30,30,30,28
0b608ca6b3e7c2e5f31d7118cdc95a9b,4fe25833f555e9903d2bb6bbeec3fbfb,7,7,7,5,5
0d35fa2868a21199e36b159b49ae6aad,e6af7d42084352a39449e6d0a09b18cd,29,29,29,28,28
0f099d5808edc0d9345318303a996602,e6af7d42084352a39449e6d0a09b18cd,5,5,4,4,2
10b6d08eea990eacf342c323080e83f5,e6af7d42084352a39449e6d0a09b18cd,30,30,28,26,26
10db62423210c1642e3d793303d2a081,e6af7d42084352a39449e6d0a09b18cd,16,16,15,13,10
113d1b7d0977122f5962fa123325c015,e6af7d42084352a39449e6d0a09b18cd,27,27,27,26,26
1167e354a5b14bfe32706bdb0b67a0cf,8cbfa61cb2b025b16b04a8e470422960,29,29,29,29,28
11f0815f430c98926be1961578f4e383,cb71040b5bd1341a34afc24961536ebd,20,20,20,18,12
1222fa9a94d30af5ffb6006472aa5537,8cbfa61cb2b025b16b04a8e470422960,20,20,19,17,12
1295c9ddb112b1276f3967dad1b2ce7f,e21640b4aea9349ad77d86d6017cb061,2,2,2,2,2
12c016759e353d0bc14d1bccacba192c,4fe25833f555e9903d2bb6bbeec3fbfb,8,8,8,7,7
12c90b2d277f87dffd14e56879987369,e6af7d42084352a39449e6d0a09b18cd,11,11,10,9,8
12e1e72e84bf81d1bb70ceaaff147ee1,4fe25833f555e9903d2bb6bbeec3fbfb,10,10,10,10,9
15246dfc4342ffe2601e4ecee9017eea,95cd1f045a0329cf5595ae734ae7ae43,15,15,15,14,9
1552ddb0e271a09b410dcd36ad33768c,e6af7d42084352a39449e6d0a09b18cd,8,8,8,8,7
15776a754fac811d8592f8746dfe03f6,c6262795f034865c9e9203305638ee79,11,11,11,11,10
16877a7d2e69929dcf77a5b6ea4e6cd9,7a01ab37bd2729626dcaf96166390315,28,28,28,27,20
17db09f3cda608d44115c85fddc3c9ad,7a01ab37bd2729626dcaf96166390315,28,28,26,26,18
17f8fdb215276b60e1b97a24962ad0f2,7a01ab37bd2729626dcaf96166390315,29,29,28,24,20
18209fda6e66194eb48ac00ea2f10a16,7a01ab37bd2729626dcaf96166390315,30,30,25,23,20
185f8ea3abb5153621b2759e8972478f,c6262795f034865c9e9203305638ee79,17,17,17,17,12
1870d7fdb0afbbdbc37c32e2a644239f,e21640b4aea9349ad77d86d6017cb061,8,8,8,7,7
1a59df3d27c2f1544da042110abbff28,7a01ab37bd2729626dcaf96166390315,4,4,4,4,3
1b06f2a47bf02a5aeeb5eee15061dd76,c6262795f034865c9e9203305638ee79,8,8,8,8,7
1b55c999597635ddd855882330afecb8,8cbfa61cb2b025b16b04a8e470422960,5,5,5,4,4
1c727a6e8a2e5c5a98471503c322d1b4,e6af7d42084352a39449e6d0a09b18cd,9,9,9,9,9
1d0a0548d9586e4cd74019a0ce91c6d3,c6262795f034865c9e9203305638ee79,22,22,21,21,15
1f29e9843acc97006c607d1d50465a1d,4fe25833f555e9903d2bb6bbeec3fbfb,9,9,9,8,8
1f32ee4bde190b6194c8d956ef958987,e6af7d42084352a39449e6d0a09b18cd,28,28,28,27,27
1f53831aa8207f7fa53432515a1e6752,e6af7d42084352a39449e6d0a09b18cd,12,12,10,9,8
2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,15,15,15,14,14
23cc150b3334c3f316fb29fd8c7bb48d,c6262795f034865c9e9203305638ee79,4,4,4,4,3
23e976a7cd66724ad7ddf04707c29f64,8cbfa61cb2b025b16b04a8e470422960,30,30,30,29,29
24484165b531c64c3151df9e29945731,4fe25833f555e9903d2bb6bbeec3fbfb,4,4,4,4,4
245b1824b004e18dc67f195876944f29,cb71040b5bd1341a34afc24961536ebd,12,12,11,11,11
