,group,task_id,order,completed_time,actions_completed,p_incorrect,p_abandoned,norm_all_measures
0,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,1.0,0.0364,0.57,0.0,5.71,0.0
8,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,2.0,0.0762,1.27,54.01,0.0,0.26438491299509986
16,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,3.0,0.09,1.86,44.3,9.68,0.25898003852148394
24,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,4.0,0.1073,1.96,30.78,7.14,0.1734745856774422
40,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,5.0,0.2265,3.99,53.87,34.62,0.4321643651400377
48,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,6.0,0.1342,3.25,37.7,9.52,0.2224965707031962
56,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,7.0,0.105,2.25,16.48,10.0,0.11003774242722017
64,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,8.0,0.1415,3.41,12.82,27.78,0.17679440382401854
72,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,9.0,0.29,5.73,27.41,42.86,0.3291354556631266
177,4fe25833f555e9903d2bb6bbeec3fbfb,Square Cross-Sections,10.0,0.474,10.25,48.61,54.55,0.5007319900477065
96,4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,11.0,1.47,23.8,66.67,80.0,0.7223281386173376
154,4fe25833f555e9903d2bb6bbeec3fbfb,Pi Henge,12.0,0.87,21.16,37.5,33.33,0.33732627591953573
32,4fe25833f555e9903d2bb6bbeec3fbfb,45-Degree Rotations,13.0,0.88,17.5,0.0,50.0,0.21561224222565153
162,4fe25833f555e9903d2bb6bbeec3fbfb,Pyramids are Strange,14.0,1.385,21.25,25.0,0.0,0.10744715549847274
104,4fe25833f555e9903d2bb6bbeec3fbfb,Boxes Obscure Spheres,15.0,inf,inf,100.0,100.0,1.0
207,4fe25833f555e9903d2bb6bbeec3fbfb,Warm Up,17.0,,,100.0,100.0,1.0
80,4fe25833f555e9903d2bb6bbeec3fbfb,Angled Silhouette,18.0,inf,,100.0,100.0,1.0
192,4fe25833f555e9903d2bb6bbeec3fbfb,Sugar Cones,19.0,inf,inf,100.0,100.0,1.0
124,4fe25833f555e9903d2bb6bbeec3fbfb,More Than Meets Your Eye,23.0,inf,,100.0,100.0,1.0
132,4fe25833f555e9903d2bb6bbeec3fbfb,Not Bird,24.0,inf,,100.0,100.0,1.0
214,4fe25833f555e9903d2bb6bbeec3fbfb,Zzz,26.0,inf,inf,100.0,100.0,1.0
112,4fe25833f555e9903d2bb6bbeec3fbfb,Bull Market,27.0,inf,,100.0,100.0,1.0
118,4fe25833f555e9903d2bb6bbeec3fbfb,Few Clues,28.0,inf,,100.0,100.0,1.0
147,4fe25833f555e9903d2bb6bbeec3fbfb,Orange Dance,29.0,inf,,100.0,100.0,1.0
88,4fe25833f555e9903d2bb6bbeec3fbfb,Bear Market,30.0,inf,inf,100.0,100.0,1.0
1,7a01ab37bd2729626dcaf96166390315,1. One Box,1.0,0.0211,0.41,4.32,0.0,0.0
9,7a01ab37bd2729626dcaf96166390315,2. Separated Boxes,2.0,0.0437,0.85,47.87,0.0,0.10800413072356255
17,7a01ab37bd2729626dcaf96166390315,3. Rotate a Pyramid,3.0,0.0581,1.52,25.91,0.0,0.05827878230614392
25,7a01ab37bd2729626dcaf96166390315,4. Match Silhouettes,4.0,0.0592,1.18,23.77,3.7,0.06023333233784853
41,7a01ab37bd2729626dcaf96166390315,5. Removing Objects,5.0,0.1216,2.84,43.42,3.85,0.11786399193960125
49,7a01ab37bd2729626dcaf96166390315,6. Stretch a Ramp,6.0,0.0632,1.55,43.52,0.0,0.10118587588193209
57,7a01ab37bd2729626dcaf96166390315,7. Max 2 Boxes,7.0,0.0968,2.39,31.8,0.0,0.07818904547643853
65,7a01ab37bd2729626dcaf96166390315,8. Combine 2 Ramps,8.0,0.0652,1.74,20.76,0.0,0.04710718988545769
73,7a01ab37bd2729626dcaf96166390315,9. Scaling Round Objects,9.0,0.0756,2.29,39.94,3.85,0.1040992142456677
178,7a01ab37bd2729626dcaf96166390315,Square Cross-Sections,10.0,0.143,3.94,49.97,8.0,0.14761392982200155
97,7a01ab37bd2729626dcaf96166390315,Bird Fez,11.0,0.1779,4.04,41.31,0.0,0.11258243703563257
155,7a01ab37bd2729626dcaf96166390315,Pi Henge,12.0,0.0725,2.16,25.65,0.0,0.06071412708720064
33,7a01ab37bd2729626dcaf96166390315,45-Degree Rotations,13.0,0.0852,2.41,19.31,4.17,0.05625929367070652
163,7a01ab37bd2729626dcaf96166390315,Pyramids are Strange,14.0,0.2218,5.09,65.37,8.33,0.19524572732571197
105,7a01ab37bd2729626dcaf96166390315,Boxes Obscure Spheres,15.0,0.429,8.87,72.44,16.67,0.25842751392908475
140,7a01ab37bd2729626dcaf96166390315,Object Limits,16.0,0.212,4.28,81.42,16.67,0.24877639295785628
208,7a01ab37bd2729626dcaf96166390315,Warm Up,17.0,0.0333,0.63,9.03,0.0,0.012986981826055111
81,7a01ab37bd2729626dcaf96166390315,Angled Silhouette,18.0,0.187,4.22,47.64,16.67,0.1652168790732575
193,7a01ab37bd2729626dcaf96166390315,Sugar Cones,19.0,0.0468,1.03,34.0,0.0,0.07539135727595052
185,7a01ab37bd2729626dcaf96166390315,Stranger Shapes,20.0,0.2761,6.32,85.55,28.0,0.29451813669629556
200,7a01ab37bd2729626dcaf96166390315,Tall and Small,21.0,0.3,7.09,74.46,39.13,0.29615277115130184
170,7a01ab37bd2729626dcaf96166390315,Ramp Up and Can It,22.0,0.2808,5.42,67.72,42.86,0.28152316988015647
125,7a01ab37bd2729626dcaf96166390315,More Than Meets Your Eye,23.0,0.1914,5.52,32.03,26.32,0.15272226702624725
133,7a01ab37bd2729626dcaf96166390315,Not Bird,24.0,0.6567,15.58,83.23,55.0,0.4058385063304838
215,7a01ab37bd2729626dcaf96166390315,Zzz,26.0,0.3238,7.83,68.23,55.56,0.32087620212238194
113,7a01ab37bd2729626dcaf96166390315,Bull Market,27.0,0.635,21.22,74.26,64.71,0.420082888781639
119,7a01ab37bd2729626dcaf96166390315,Few Clues,28.0,0.5371,15.21,66.67,61.11,0.3683175944893072
148,7a01ab37bd2729626dcaf96166390315,Orange Dance,29.0,2.1467,69.35,75.0,83.33,0.7275612362201507
89,7a01ab37bd2729626dcaf96166390315,Bear Market,30.0,3.62,94.0,98.21,94.12,1.0
2,8cbfa61cb2b025b16b04a8e470422960,1. One Box,1.0,0.0218,0.35,1.79,3.45,0.0
10,8cbfa61cb2b025b16b04a8e470422960,2. Separated Boxes,2.0,0.0519,0.85,47.35,3.57,0.1079023296495427
18,8cbfa61cb2b025b16b04a8e470422960,3. Rotate a Pyramid,3.0,0.0559,1.27,36.05,0.0,0.07366015838153822
26,8cbfa61cb2b025b16b04a8e470422960,4. Match Silhouettes,4.0,0.0937,2.03,22.67,0.0,0.04477237360963962
42,8cbfa61cb2b025b16b04a8e470422960,5. Removing Objects,5.0,0.0969,2.06,32.98,3.7,0.07784508320783635
50,8cbfa61cb2b025b16b04a8e470422960,6. Stretch a Ramp,6.0,0.0904,1.83,49.2,3.85,0.11542240432044157
58,8cbfa61cb2b025b16b04a8e470422960,7. Max 2 Boxes,7.0,0.0571,1.01,22.67,4.0,0.051916873045504415
66,8cbfa61cb2b025b16b04a8e470422960,8. Combine 2 Ramps,8.0,0.0842,2.2,20.97,4.0,0.05039543855901834
74,8cbfa61cb2b025b16b04a8e470422960,9. Scaling Round Objects,9.0,0.1241,2.53,45.68,8.33,0.12008881004248682
179,8cbfa61cb2b025b16b04a8e470422960,Square Cross-Sections,10.0,0.1759,3.44,49.26,8.33,0.13130644638802738
98,8cbfa61cb2b025b16b04a8e470422960,Bird Fez,11.0,0.275,5.78,55.22,13.04,0.1628616913560134
156,8cbfa61cb2b025b16b04a8e470422960,Pi Henge,12.0,0.0939,2.11,25.94,4.17,0.06257207446063025
34,8cbfa61cb2b025b16b04a8e470422960,45-Degree Rotations,13.0,0.1289,3.22,21.11,14.29,0.07840212242128636
164,8cbfa61cb2b025b16b04a8e470422960,Pyramids are Strange,14.0,0.2182,5.04,46.83,19.05,0.1550434023637452
106,8cbfa61cb2b025b16b04a8e470422960,Boxes Obscure Spheres,15.0,0.4215,7.55,67.08,35.0,0.25069201972806476
141,8cbfa61cb2b025b16b04a8e470422960,Object Limits,16.0,0.18,2.94,71.3,22.22,0.21565105857879813
209,8cbfa61cb2b025b16b04a8e470422960,Warm Up,17.0,0.0737,1.37,17.75,5.0,0.043906088344177606
82,8cbfa61cb2b025b16b04a8e470422960,Angled Silhouette,18.0,0.222,4.66,41.67,25.0,0.15706641778990196
194,8cbfa61cb2b025b16b04a8e470422960,Sugar Cones,19.0,0.126,2.64,42.94,11.76,0.12221519388213034
186,8cbfa61cb2b025b16b04a8e470422960,Stranger Shapes,20.0,0.5662,13.18,81.8,18.75,0.25768883424202915
201,8cbfa61cb2b025b16b04a8e470422960,Tall and Small,21.0,0.4164,7.99,76.3,21.43,0.2397193742958486
171,8cbfa61cb2b025b16b04a8e470422960,Ramp Up and Can It,22.0,0.205,4.25,43.83,16.67,0.1408540623916
126,8cbfa61cb2b025b16b04a8e470422960,More Than Meets Your Eye,23.0,0.4688,12.19,33.33,27.27,0.16104841672460066
134,8cbfa61cb2b025b16b04a8e470422960,Not Bird,24.0,0.6333,12.56,64.98,10.0,0.19883279536852289
216,8cbfa61cb2b025b16b04a8e470422960,Zzz,26.0,0.5929,14.38,50.26,22.22,0.19515258553044978
114,8cbfa61cb2b025b16b04a8e470422960,Bull Market,27.0,1.1471,26.39,54.38,12.5,0.2150895288505961
120,8cbfa61cb2b025b16b04a8e470422960,Few Clues,28.0,1.136,27.82,41.67,37.5,0.24745871107361883
149,8cbfa61cb2b025b16b04a8e470422960,Orange Dance,29.0,1.91,60.78,81.25,80.0,0.510449353191825
90,8cbfa61cb2b025b16b04a8e470422960,Bear Market,30.0,8.46,214.71,99.66,92.86,1.0
3,95cd1f045a0329cf5595ae734ae7ae43,1. One Box,1.0,2.834,39.8,0.0,0.0,0.0
11,95cd1f045a0329cf5595ae734ae7ae43,2. Separated Boxes,2.0,0.315,4.45,43.75,20.0,0.3214262779990148
19,95cd1f045a0329cf5595ae734ae7ae43,3. Rotate a Pyramid,3.0,1.4875,37.69,63.89,0.0,0.3266494695308235
27,95cd1f045a0329cf5595ae734ae7ae43,4. Match Silhouettes,4.0,0.9067,22.67,25.0,0.0,0.12781713473580508
43,95cd1f045a0329cf5595ae734ae7ae43,5. Removing Objects,5.0,0.5075,5.31,25.0,0.0,0.12781713473580508
51,95cd1f045a0329cf5595ae734ae7ae43,6. Stretch a Ramp,6.0,1.0,33.44,33.33,0.0,0.17040580402977534
59,95cd1f045a0329cf5595ae734ae7ae43,7. Max 2 Boxes,7.0,7.02,133.75,75.0,75.0,0.75
67,95cd1f045a0329cf5595ae734ae7ae43,8. Combine 2 Ramps,8.0,0.32,10.12,0.0,50.0,0.24436573052838975
75,95cd1f045a0329cf5595ae734ae7ae43,9. Scaling Round Objects,9.0,4.17,83.25,83.33,75.0,0.7925886692939702
180,95cd1f045a0329cf5595ae734ae7ae43,Square Cross-Sections,10.0,9.67,196.0,88.89,80.0,0.8454517731120522
99,95cd1f045a0329cf5595ae734ae7ae43,Bird Fez,11.0,1.0875,17.2,46.0,20.0,0.33292982012523725
157,95cd1f045a0329cf5595ae734ae7ae43,Pi Henge,12.0,0.545,11.66,0.0,33.33,0.1628941959702246
35,95cd1f045a0329cf5595ae734ae7ae43,45-Degree Rotations,13.0,1.72,35.0,33.33,0.0,0.17040580402977534
165,95cd1f045a0329cf5595ae734ae7ae43,Pyramids are Strange,14.0,11.53,212.0,93.75,50.0,0.7236799857876589
107,95cd1f045a0329cf5595ae734ae7ae43,Boxes Obscure Spheres,15.0,3.12,40.5,66.67,50.0,0.5852284654418348
142,95cd1f045a0329cf5595ae734ae7ae43,Object Limits,16.0,6.55,103.0,80.0,0.0,0.4090148311545763
210,95cd1f045a0329cf5595ae734ae7ae43,Warm Up,17.0,2.7,44.75,0.0,0.0,0.0
83,95cd1f045a0329cf5595ae734ae7ae43,Angled Silhouette,18.0,12.56,254.0,50.0,0.0,0.25563426947161016
195,95cd1f045a0329cf5595ae734ae7ae43,Sugar Cones,19.0,0.55,10.0,0.0,0.0,0.0
187,95cd1f045a0329cf5595ae734ae7ae43,Stranger Shapes,20.0,2.63,47.0,75.0,50.0,0.6278171347358051
202,95cd1f045a0329cf5595ae734ae7ae43,Tall and Small,21.0,2.37,58.0,0.0,0.0,0.0
172,95cd1f045a0329cf5595ae734ae7ae43,Ramp Up and Can It,22.0,1.64,36.0,50.0,0.0,0.25563426947161016
127,95cd1f045a0329cf5595ae734ae7ae43,More Than Meets Your Eye,23.0,6.9,197.0,66.67,0.0,0.34086273491344504
135,95cd1f045a0329cf5595ae734ae7ae43,Not Bird,24.0,inf,inf,100.0,100.0,1.0
217,95cd1f045a0329cf5595ae734ae7ae43,Zzz,26.0,1.53,26.5,50.0,50.0,0.49999999999999994
115,95cd1f045a0329cf5595ae734ae7ae43,Bull Market,27.0,5.24,103.67,92.86,66.67,0.8006012303492295
121,95cd1f045a0329cf5595ae734ae7ae43,Few Clues,28.0,4.71,104.0,75.0,0.0,0.38345140420741525
150,95cd1f045a0329cf5595ae734ae7ae43,Orange Dance,29.0,inf,,100.0,100.0,1.0
91,95cd1f045a0329cf5595ae734ae7ae43,Bear Market,30.0,inf,inf,100.0,100.0,1.0
4,c6262795f034865c9e9203305638ee79,1. One Box,1.0,0.0805,1.44,0.0,0.0,0.0
12,c6262795f034865c9e9203305638ee79,2. Separated Boxes,2.0,0.0928,1.98,32.58,5.26,0.13288858777272802
20,c6262795f034865c9e9203305638ee79,3. Rotate a Pyramid,3.0,0.0747,1.46,38.64,0.0,0.13547628361961775
28,c6262795f034865c9e9203305638ee79,4. Match Silhouettes,4.0,0.1611,3.18,36.13,5.0,0.14630614704649272
44,c6262795f034865c9e9203305638ee79,5. Removing Objects,5.0,0.1572,3.16,37.86,5.26,0.15322173818258616
52,c6262795f034865c9e9203305638ee79,6. Stretch a Ramp,6.0,0.1469,2.78,42.13,11.11,0.18745413495400143
60,c6262795f034865c9e9203305638ee79,7. Max 2 Boxes,7.0,0.218,4.21,43.04,11.76,0.19506156014203574
68,c6262795f034865c9e9203305638ee79,8. Combine 2 Ramps,8.0,0.2817,6.04,23.21,14.29,0.13696736957107664
